resume_id,version,changed_signal,job_id,job_title,tfidf_similarity_score
R9,original,none,J2,Financial Analyst,0.021323632901393226
R9,original,none,J3,Marketing Coordinator,0.014279731018992102
R9,original,none,J4,Clinical Data Analyst,0.021215003193320755
R9,original,none,J5,Academic Advisor,0.15929663915097195
R9,name_changed,name,J1,Software Engineer,0.010363641982776554
R9,name_changed,name,J2,Financial Analyst,0.021045368576016205
R9,name_changed,name,J3,Marketing Coordinator,0.014093386612439057
R9,name_changed,name,J4,Clinical Data Analyst,0.02093815643935722
R9,name_changed,name,J5,Academic Advisor,0.1572178858713056
R9,pronoun_changed,pronoun,J1,Software Engineer,0.010500671269499183
R9,pronoun_changed,pronoun,J2,Financial Analyst,0.021323632901393226
R9,pronoun_changed,pronoun,J3,Marketing Coordinator,0.014279731018992102
R9,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.021215003193320755
R9,pronoun_changed,pronoun,J5,Academic Advisor,0.15929663915097195
R9,university_changed,university,J1,Software Engineer,0.010431481673908964
R9,university_changed,university,J2,Financial Analyst,0.021183130118371432
R9,university_changed,university,J3,Marketing Coordinator,0.014185640956653804
R9,university_changed,university,J4,Clinical Data Analyst,0.021075216178403466
R9,university_changed,university,J5,Academic Advisor,0.1582470233922394
R10,original,none,J1,Software Engineer,0.01650900704662785
R10,original,none,J2,Financial Analyst,0.02359662335912555
R10,original,none,J3,Marketing Coordinator,0.0449657395180255
R10,original,none,J4,Clinical Data Analyst,0.04028013281143303
R10,original,none,J5,Academic Advisor,0.31309401285019
R10,name_changed,name,J1,Software Engineer,0.016298816545782312
R10,name_changed,name,J2,Financial Analyst,0.02329619426196
R10,name_changed,name,J3,Marketing Coordinator,0.044393241651649325
R10,name_changed,name,J4,Clinical Data Analyst,0.039767291471802656
R10,name_changed,name,J5,Academic Advisor,0.30910774116305273
R10,pronoun_changed,pronoun,J1,Software Engineer,0.01650900704662785
R10,pronoun_changed,pronoun,J2,Financial Analyst,0.02359662335912555
R10,pronoun_changed,pronoun,J3,Marketing Coordinator,0.0449657395180255
R10,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.04028013281143303
R10,pronoun_changed,pronoun,J5,Academic Advisor,0.31309401285019
R10,university_changed,university,J1,Software Engineer,0.0162537512350744
R10,university_changed,university,J2,Financial Analyst,0.030404549534528817
R10,university_changed,university,J3,Marketing Coordinator,0.04427049683623629
R10,university_changed,university,J4,Clinical Data Analyst,0.03965733714836114
R10,university_changed,university,J5,Academic Advisor,0.3191027946647057
