resume_id,version,changed_signal,job_id,job_title,blind_similarity_score
R8,pronoun_changed,pronoun,J5,Academic Advisor,0.26783695816993713
R8,university_changed,university,J1,Software Engineer,0.21700800955295563
R8,university_changed,university,J2,Financial Analyst,0.3287484049797058
R8,university_changed,university,J3,Marketing Coordinator,0.30581265687942505
R8,university_changed,university,J4,Clinical Data Analyst,0.5565868616104126
R8,university_changed,university,J5,Academic Advisor,0.26783695816993713
R9,original,none,J1,Software Engineer,0.21813178062438965
R9,original,none,J2,Financial Analyst,0.12565848231315613
R9,original,none,J3,Marketing Coordinator,0.3354892134666443
R9,original,none,J4,Clinical Data Analyst,0.2445577085018158
R9,original,none,J5,Academic Advisor,0.3474923074245453
R9,name_changed,name,J1,Software Engineer,0.21813178062438965
R9,name_changed,name,J2,Financial Analyst,0.12565848231315613
R9,name_changed,name,J3,Marketing Coordinator,0.3354892134666443
R9,name_changed,name,J4,Clinical Data Analyst,0.2445577085018158
R9,name_changed,name,J5,Academic Advisor,0.3474923074245453
R9,pronoun_changed,pronoun,J1,Software Engineer,0.21813178062438965
R9,pronoun_changed,pronoun,J2,Financial Analyst,0.12565848231315613
R9,pronoun_changed,pronoun,J3,Marketing Coordinator,0.3354892134666443
R9,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.2445577085018158
R9,pronoun_changed,pronoun,J5,Academic Advisor,0.3474923074245453
R9,university_changed,university,J1,Software Engineer,0.21813178062438965
R9,university_changed,university,J2,Financial Analyst,0.12565848231315613
R9,university_changed,university,J3,Marketing Coordinator,0.3354892134666443
R9,university_changed,university,J4,Clinical Data Analyst,0.2445577085018158
R9,university_changed,university,J5,Academic Advisor,0.3474923074245453
R10,original,none,J1,Software Engineer,0.2892625629901886
R10,original,none,J2,Financial Analyst,0.23836472630500793
R10,original,none,J3,Marketing Coordinator,0.31921130418777466
R10,original,none,J4,Clinical Data Analyst,0.3096618354320526
R10,original,none,J5,Academic Advisor,0.46710699796676636
R10,name_changed,name,J1,Software Engineer,0.2892625629901886
R10,name_changed,name,J2,Financial Analyst,0.23836472630500793
R10,name_changed,name,J3,Marketing Coordinator,0.31921130418777466
R10,name_changed,name,J4,Clinical Data Analyst,0.3096618354320526
R10,name_changed,name,J5,Academic Advisor,0.46710699796676636
R10,pronoun_changed,pronoun,J1,Software Engineer,0.2892625629901886
R10,pronoun_changed,pronoun,J2,Financial Analyst,0.23836472630500793
R10,pronoun_changed,pronoun,J3,Marketing Coordinator,0.31921130418777466
R10,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.3096618354320526
R10,pronoun_changed,pronoun,J5,Academic Advisor,0.46710699796676636
R10,university_changed,university,J1,Software Engineer,0.2892625629901886
R10,university_changed,university,J2,Financial Analyst,0.23836472630500793
R10,university_changed,university,J3,Marketing Coordinator,0.31921130418777466
R10,university_changed,university,J4,Clinical Data Analyst,0.3096618354320526
R10,university_changed,university,J5,Academic Advisor,0.46710699796676636
